disease,description1,description2,description3,description4,description5,description6,description7,description8,description9,description10
Plantar fasciitis,"I have allergic reaction, ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, lower abdominal pain, muscle cramps, contractures, or spasms, problems during pregnancy","I have allergic reaction, ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, itchy eyelid, knee lump or mass, muscle cramps, contractures, or spasms","I have allergic reaction, ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, lower abdominal pain","I have allergic reaction, ankle stiffness or tightness, burning chest pain, focal weakness, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, lower abdominal pain, muscle cramps, contractures, or spasms","I have allergic reaction, ankle stiffness or tightness, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, lower abdominal pain, muscle cramps, contractures, or spasms, problems during pregnancy","I have allergic reaction, ankle stiffness or tightness, burning chest pain, focal weakness, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, lower abdominal pain, muscle cramps, contractures, or spasms","I have allergic reaction, ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, lower abdominal pain","I have allergic reaction, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, problems during pregnancy","I have allergic reaction, blood in urine, burning chest pain, focal weakness, foot or toe lump or mass, foot or toe stiffness or tightness, muscle cramps, contractures, or spasms, problems during pregnancy","I have ankle stiffness or tightness, blood in urine, burning chest pain, focal weakness, foot or toe stiffness or tightness, itchy eyelid, knee lump or mass, muscle cramps, contractures, or spasms"
Pleural effusion,"I have back mass or lump, coryza, diarrhea, double vision, feet turned in, hot flashes, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts","I have back mass or lump, coryza, diarrhea, double vision, feet turned in, retention of urine, seizures, sharp abdominal pain, shoulder weakness","I have back mass or lump, diarrhea, double vision, hot flashes, sharp abdominal pain, sharp chest pain, shoulder weakness, warts","I have back mass or lump, diarrhea, double vision, feet turned in, hot flashes, seizures, sharp abdominal pain, sharp chest pain, warts","I have back mass or lump, diarrhea, double vision, feet turned in, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts","I have back mass or lump, feet turned in, hot flashes, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness","I have back mass or lump, coryza, diarrhea, double vision, feet turned in, hot flashes, seizures, sharp chest pain","I have back mass or lump, diarrhea, feet turned in, hot flashes, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts","I have coryza, diarrhea, double vision, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts","I have diarrhea, feet turned in, retention of urine, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, warts"
Pneumoconiosis,"I have changes in stool appearance, coryza, cough, diarrhea, disturbance of smell or taste, feet turned in, infrequent menstruation, nailbiting, sharp chest pain, sore in nose, vaginal redness, weight gain","I have changes in stool appearance, coryza, cough, disturbance of smell or taste, feet turned in, infrequent menstruation, sharp chest pain, sore in nose","I have changes in stool appearance, diarrhea, disturbance of smell or taste, feet turned in, infrequent menstruation, sharp chest pain, vaginal redness, weight gain","I have changes in stool appearance, coryza, diarrhea, disturbance of smell or taste, infrequent menstruation, nailbiting, sharp chest pain, sore in nose, vaginal redness","I have changes in stool appearance, coryza, cough, disturbance of smell or taste, feet turned in, sore in nose, vaginal redness, weight gain","I have changes in stool appearance, coryza, cough, diarrhea, disturbance of smell or taste, infrequent menstruation, sharp chest pain, sore in nose, vaginal redness","I have changes in stool appearance, cough, diarrhea, infrequent menstruation, sharp chest pain, sore in nose, vaginal redness, weight gain","I have changes in stool appearance, coryza, cough, disturbance of smell or taste, feet turned in, sharp chest pain, vaginal redness, weight gain","I have changes in stool appearance, coryza, cough, diarrhea, disturbance of smell or taste, feet turned in, sore in nose, vaginal redness","I have coryza, cough, disturbance of smell or taste, feet turned in, infrequent menstruation, sharp chest pain, sore in nose, vaginal redness, weight gain"
Pneumonia,"I have chest tightness, constipation, coryza, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, warts, weight gain","I have coryza, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, warts","I have constipation, coryza, diarrhea, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, warts, weight gain","I have chest tightness, constipation, diarrhea, feet turned in, nailbiting, sharp chest pain, warts, weight gain","I have chest tightness, constipation, coryza, diarrhea, feet turned in, sharp abdominal pain, vaginal redness, warts, weight gain","I have chest tightness, constipation, coryza, feet turned in, sharp abdominal pain, sore in nose, vaginal redness, warts","I have chest tightness, constipation, diarrhea, feet turned in, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, warts","I have chest tightness, constipation, coryza, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose","I have coryza, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, weight gain","I have chest tightness, constipation, coryza, diarrhea, feet turned in, sharp chest pain, sore in nose, weight gain"
Pneumothorax,"I have back mass or lump, coryza, cough, diarrhea, double vision, drainage in throat, hot flashes, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass, shoulder weakness","I have back mass or lump, cough, diarrhea, drainage in throat, hot flashes, retention of urine, sharp chest pain, shoulder lump or mass","I have back mass or lump, coryza, diarrhea, drainage in throat, hot flashes, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass","I have back mass or lump, cough, diarrhea, double vision, drainage in throat, retention of urine, sharp chest pain, shoulder lump or mass","I have back mass or lump, cough, diarrhea, double vision, hot flashes, retention of urine, sharp chest pain, shoulder lump or mass, shoulder weakness","I have back mass or lump, coryza, cough, diarrhea, drainage in throat, hot flashes, retention of urine, sharp abdominal pain, shoulder weakness","I have back mass or lump, coryza, cough, double vision, drainage in throat, hot flashes, sharp abdominal pain, shoulder weakness","I have back mass or lump, cough, diarrhea, double vision, drainage in throat, sharp abdominal pain, sharp chest pain, shoulder weakness","I have cough, diarrhea, double vision, drainage in throat, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass","I have coryza, cough, diarrhea, drainage in throat, hot flashes, retention of urine, shoulder lump or mass, shoulder weakness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, emotional symptoms, headache, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight, vaginal redness","I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight, vaginal redness","I have absence of menstruation, blood clots during menstrual periods, depression, emotional symptoms, headache, low back weakness, throat feels tight, vaginal redness","I have absence of menstruation, delusions or hallucinations, depression, hoarse voice, low back weakness, skin rash, throat feels tight, vaginal redness","I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, hoarse voice, low back weakness, skin rash, throat feels tight, vaginal redness","I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight","I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, headache, hoarse voice, premenstrual tension or irritability, throat feels tight","I have absence of menstruation, delusions or hallucinations, emotional symptoms, headache, low back weakness, skin rash, throat feels tight, vaginal redness","I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, emotional symptoms, headache, low back weakness, skin rash, throat feels tight, vaginal redness","I have blood clots during menstrual periods, delusions or hallucinations, depression, headache, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, pain during pregnancy, problems during pregnancy, rib pain, scanty menstrual flow, sleepwalking, vaginal redness","I have disturbance of smell or taste, feeling hot and cold, hand or finger weakness, pain during pregnancy, problems during pregnancy, rib pain, scanty menstrual flow, vaginal redness","I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, problems during pregnancy, rib pain, scanty menstrual flow, vaginal redness","I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, pain during pregnancy, problems during pregnancy, rib pain","I have difficulty in swallowing, feeling hot and cold, hand or finger weakness, itching of scrotum, problems during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness","I have delusions or hallucinations, disturbance of smell or taste, hand or finger weakness, itching of scrotum, pain during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness","I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, pain during pregnancy, problems during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness","I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, problems during pregnancy, rib pain, vaginal redness","I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, rib pain, scanty menstrual flow, sleepwalking","I have difficulty in swallowing, disturbance of smell or taste, hand or finger weakness, itching of scrotum, pain during pregnancy, rib pain, scanty menstrual flow, sleepwalking, vaginal redness"
Poisoning due to antidepressants,"I have absence of menstruation, acne or pimples, back swelling, delusions or hallucinations, discharge in stools, drainage in throat, elbow weakness, facial pain, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling, warts","I have acne or pimples, back swelling, drainage in throat, elbow weakness, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling, warts","I have absence of menstruation, delusions or hallucinations, discharge in stools, drainage in throat, elbow weakness, facial pain, muscle cramps, contractures, or spasms, skin swelling, warts","I have absence of menstruation, back swelling, discharge in stools, elbow weakness, facial pain, hand or finger weakness, skin swelling, warts","I have acne or pimples, delusions or hallucinations, discharge in stools, elbow weakness, facial pain, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling","I have absence of menstruation, acne or pimples, discharge in stools, drainage in throat, elbow weakness, hand or finger weakness, muscle cramps, contractures, or spasms, warts","I have absence of menstruation, delusions or hallucinations, discharge in stools, drainage in throat, elbow weakness, hand or finger weakness, muscle cramps, contractures, or spasms, warts","I have acne or pimples, back swelling, discharge in stools, drainage in throat, elbow weakness, facial pain, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling, warts","I have absence of menstruation, delusions or hallucinations, discharge in stools, drainage in throat, elbow weakness, hand or finger weakness, muscle cramps, contractures, or spasms, skin swelling","I have absence of menstruation, acne or pimples, back swelling, delusions or hallucinations, drainage in throat, elbow weakness, facial pain, hand or finger weakness"
Poisoning due to antihypertensives,"I have acne or pimples, depression, diaper rash, disturbance of smell or taste, feeling cold, flushing, itching of scrotum, nasal congestion, seizures, skin pain, swollen or red tonsils, warts","I have acne or pimples, depression, diaper rash, feeling cold, flushing, nasal congestion, skin pain, swollen or red tonsils, warts","I have feeling cold, flushing, itching of scrotum, nasal congestion, seizures, skin pain, swollen or red tonsils, warts","I have diaper rash, disturbance of smell or taste, feeling cold, flushing, nasal congestion, seizures, skin pain, swollen or red tonsils, warts","I have acne or pimples, depression, diaper rash, disturbance of smell or taste, feeling cold, itching of scrotum, seizures, skin pain, swollen or red tonsils","I have acne or pimples, diaper rash, disturbance of smell or taste, flushing, nasal congestion, seizures, skin pain, swollen or red tonsils, warts","I have acne or pimples, depression, flushing, itching of scrotum, nasal congestion, skin pain, swollen or red tonsils, warts","I have acne or pimples, depression, disturbance of smell or taste, flushing, itching of scrotum, seizures, swollen or red tonsils, warts","I have acne or pimples, diaper rash, disturbance of smell or taste, feeling cold, flushing, skin pain, swollen or red tonsils, warts","I have depression, diaper rash, disturbance of smell or taste, feeling cold, nasal congestion, seizures, skin pain, swollen or red tonsils, warts"
Poisoning due to antimicrobial drugs,"I have abnormal breathing sounds, acne or pimples, coryza, depression, nasal congestion, palpitations, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain, vaginal redness","I have abnormal breathing sounds, acne or pimples, coryza, depression, palpitations, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain","I have abnormal breathing sounds, acne or pimples, coryza, depression, palpitations, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain","I have acne or pimples, depression, nasal congestion, palpitations, penis redness, postpartum problems of the breast, sharp chest pain, skin pain, vaginal redness","I have abnormal breathing sounds, acne or pimples, depression, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain, vaginal redness","I have abnormal breathing sounds, acne or pimples, coryza, depression, nasal congestion, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain","I have abnormal breathing sounds, acne or pimples, coryza, depression, palpitations, penis redness, postpartum problems of the breast, sharp chest pain, skin pain","I have abnormal breathing sounds, acne or pimples, depression, palpitations, postpartum problems of the breast, problems during pregnancy, sharp chest pain, skin pain, vaginal redness","I have abnormal breathing sounds, coryza, nasal congestion, palpitations, penis redness, postpartum problems of the breast, problems during pregnancy, sharp chest pain, vaginal redness","I have abnormal breathing sounds, acne or pimples, coryza, depression, palpitations, postpartum problems of the breast, sharp chest pain, skin pain, vaginal redness"
Poisoning due to antipsychotics,"I have antisocial behavior, changes in stool appearance, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, disturbance of smell or taste, facial pain, infrequent menstruation, sharp abdominal pain, skin swelling, tongue bleeding","I have changes in stool appearance, decreased heart rate, delusions or hallucinations, depression, infrequent menstruation, sharp abdominal pain, skin swelling, tongue bleeding","I have changes in stool appearance, decreased heart rate, delusions or hallucinations, depression, facial pain, infrequent menstruation, sharp abdominal pain, skin swelling, tongue bleeding","I have antisocial behavior, changes in stool appearance, decreased heart rate, difficulty in swallowing, disturbance of smell or taste, facial pain, sharp abdominal pain, skin swelling, tongue bleeding","I have antisocial behavior, changes in stool appearance, decreased heart rate, delusions or hallucinations, difficulty in swallowing, facial pain, infrequent menstruation, tongue bleeding","I have changes in stool appearance, delusions or hallucinations, depression, difficulty in swallowing, disturbance of smell or taste, facial pain, infrequent menstruation, skin swelling, tongue bleeding","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, disturbance of smell or taste, facial pain, sharp abdominal pain, tongue bleeding","I have changes in stool appearance, decreased heart rate, delusions or hallucinations, disturbance of smell or taste, facial pain, infrequent menstruation, sharp abdominal pain, skin swelling","I have antisocial behavior, delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, facial pain, infrequent menstruation, skin swelling, tongue bleeding","I have antisocial behavior, delusions or hallucinations, depression, disturbance of smell or taste, facial pain, infrequent menstruation, sharp abdominal pain, skin swelling, tongue bleeding"
Poisoning due to ethylene glycol,"I have absence of menstruation, delusions or hallucinations, depression, diaper rash, drainage in throat, facial pain, feeling hot and cold, hand or finger weakness, hoarse voice, nasal congestion, seizures, vaginal redness","I have absence of menstruation, delusions or hallucinations, depression, facial pain, hand or finger weakness, hoarse voice, nasal congestion, seizures, vaginal redness","I have absence of menstruation, delusions or hallucinations, depression, facial pain, hand or finger weakness, hoarse voice, nasal congestion, seizures, vaginal redness","I have absence of menstruation, depression, diaper rash, drainage in throat, feeling hot and cold, hoarse voice, nasal congestion, seizures","I have absence of menstruation, delusions or hallucinations, diaper rash, drainage in throat, facial pain, hand or finger weakness, hoarse voice, nasal congestion, vaginal redness","I have absence of menstruation, delusions or hallucinations, depression, drainage in throat, facial pain, feeling hot and cold, hoarse voice, nasal congestion, vaginal redness","I have delusions or hallucinations, diaper rash, drainage in throat, facial pain, feeling hot and cold, hand or finger weakness, nasal congestion, vaginal redness","I have absence of menstruation, delusions or hallucinations, depression, diaper rash, drainage in throat, hand or finger weakness, hoarse voice, nasal congestion, seizures","I have absence of menstruation, drainage in throat, facial pain, feeling hot and cold, hand or finger weakness, hoarse voice, seizures, vaginal redness","I have delusions or hallucinations, diaper rash, drainage in throat, facial pain, hand or finger weakness, nasal congestion, seizures, vaginal redness"
Poisoning due to gas,"I have coryza, diarrhea, disturbance of smell or taste, double vision, feet turned in, hand or finger weakness, nailbiting, nasal congestion, sharp abdominal pain, sharp chest pain, sore in nose, weight gain","I have diarrhea, disturbance of smell or taste, feet turned in, hand or finger weakness, nailbiting, nasal congestion, sharp abdominal pain, weight gain","I have diarrhea, double vision, hand or finger weakness, nailbiting, nasal congestion, sharp abdominal pain, sore in nose, weight gain","I have coryza, diarrhea, disturbance of smell or taste, double vision, hand or finger weakness, sharp abdominal pain, sharp chest pain, weight gain","I have coryza, diarrhea, disturbance of smell or taste, hand or finger weakness, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose","I have coryza, diarrhea, disturbance of smell or taste, double vision, hand or finger weakness, nasal congestion, sharp chest pain, sore in nose","I have diarrhea, disturbance of smell or taste, double vision, feet turned in, hand or finger weakness, nailbiting, sharp chest pain, weight gain","I have diarrhea, disturbance of smell or taste, double vision, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, weight gain","I have coryza, diarrhea, disturbance of smell or taste, double vision, nailbiting, nasal congestion, sharp abdominal pain, sharp chest pain, sore in nose","I have coryza, diarrhea, disturbance of smell or taste, double vision, feet turned in, hand or finger weakness, sore in nose, weight gain"
Poisoning due to opioids,"I have absence of menstruation, arm lump or mass, arm swelling, depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, problems during pregnancy, skin swelling, sleepwalking, vaginal redness","I have absence of menstruation, arm lump or mass, depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, skin swelling, vaginal redness","I have depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, problems during pregnancy, sleepwalking, vaginal redness","I have arm lump or mass, arm swelling, depression, difficulty in swallowing, disturbance of smell or taste, skin swelling, sleepwalking, vaginal redness","I have arm swelling, depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, problems during pregnancy, skin swelling","I have absence of menstruation, arm lump or mass, arm swelling, depression, difficulty in swallowing, feeling hot and cold, problems during pregnancy, skin swelling, sleepwalking","I have arm lump or mass, arm swelling, depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, skin swelling","I have absence of menstruation, arm lump or mass, depression, drainage in throat, feeling hot and cold, problems during pregnancy, skin swelling, sleepwalking, vaginal redness","I have arm lump or mass, arm swelling, difficulty in swallowing, drainage in throat, feeling hot and cold, problems during pregnancy, skin swelling, vaginal redness","I have depression, difficulty in swallowing, disturbance of smell or taste, drainage in throat, feeling hot and cold, problems during pregnancy, sleepwalking, vaginal redness"
Poisoning due to sedatives,"I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, problems during pregnancy, skin swelling, sleepwalking","I have absence of menstruation, depression, discharge in stools, drainage in throat, emotional symptoms, infrequent menstruation, problems during pregnancy, skin swelling, sleepwalking","I have absence of menstruation, decreased heart rate, depression, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, skin swelling, sleepwalking","I have delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, skin swelling, sleepwalking","I have decreased heart rate, delusions or hallucinations, discharge in stools, emotional symptoms, infrequent menstruation, problems during pregnancy, skin swelling, sleepwalking","I have decreased heart rate, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, sleepwalking","I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, discharge in stools, hoarse voice, infrequent menstruation, problems during pregnancy, sleepwalking","I have absence of menstruation, decreased heart rate, depression, discharge in stools, drainage in throat, problems during pregnancy, skin swelling, sleepwalking","I have decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, infrequent menstruation, problems during pregnancy, sleepwalking","I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, hoarse voice, infrequent menstruation, problems during pregnancy, skin swelling, sleepwalking"
Polycystic kidney disease,"I have back mass or lump, blood in stool, frequent menstruation, joint swelling, low back cramps or spasms, painful sinuses, restlessness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, symptoms of the face","I have blood in stool, joint swelling, low back cramps or spasms, painful sinuses, restlessness, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering","I have back mass or lump, frequent menstruation, joint swelling, low back cramps or spasms, restlessness, seizures, skin dryness, peeling, scaliness, or roughness, stuttering or stammering","I have back mass or lump, blood in stool, frequent menstruation, joint swelling, painful sinuses, seizures, skin dryness, peeling, scaliness, or roughness, symptoms of the face","I have blood in stool, frequent menstruation, low back cramps or spasms, painful sinuses, restlessness, seizures, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, symptoms of the face","I have back mass or lump, joint swelling, low back cramps or spasms, painful sinuses, restlessness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, symptoms of the face","I have back mass or lump, blood in stool, frequent menstruation, joint swelling, low back cramps or spasms, painful sinuses, restlessness, shoulder weakness, stuttering or stammering","I have blood in stool, low back cramps or spasms, painful sinuses, restlessness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, symptoms of the face","I have back mass or lump, blood in stool, joint swelling, low back cramps or spasms, painful sinuses, seizures, skin dryness, peeling, scaliness, or roughness, symptoms of the face","I have blood in stool, frequent menstruation, joint swelling, restlessness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering"
Polycystic ovarian syndrome (PCOS),"I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, hostile behavior, infant spitting up, insomnia, lip swelling, pain or soreness of breast, paresthesia, underweight, weakness","I have ache all over, coughing up sputum, heartburn, hostile behavior, insomnia, pain or soreness of breast, paresthesia, underweight","I have abnormal size or shape of ear, coughing up sputum, heartburn, hostile behavior, pain or soreness of breast, paresthesia, underweight, weakness","I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, infant spitting up, insomnia, lip swelling, pain or soreness of breast, paresthesia, weakness","I have ache all over, coughing up sputum, heartburn, infant spitting up, insomnia, lip swelling, underweight, weakness","I have abnormal size or shape of ear, ache all over, coughing up sputum, insomnia, lip swelling, pain or soreness of breast, underweight, weakness","I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, hostile behavior, insomnia, lip swelling, pain or soreness of breast, underweight","I have abnormal size or shape of ear, ache all over, heartburn, hostile behavior, infant spitting up, insomnia, pain or soreness of breast, underweight, weakness","I have abnormal size or shape of ear, coughing up sputum, heartburn, hostile behavior, lip swelling, pain or soreness of breast, paresthesia, underweight, weakness","I have abnormal size or shape of ear, ache all over, coughing up sputum, heartburn, infant spitting up, pain or soreness of breast, paresthesia, underweight, weakness"
Polycythemia vera,"I have difficulty breathing, disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, redness in or around nose, skin irritation, sore throat, symptoms of bladder, weakness","I have difficulty breathing, itching of scrotum, jaw swelling, joint stiffness or tightness, redness in or around nose, sore throat, symptoms of bladder, weakness","I have difficulty breathing, disturbance of smell or taste, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, skin irritation, sore throat","I have difficulty breathing, fainting, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, redness in or around nose, skin irritation, sore throat","I have difficulty breathing, disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, joint stiffness or tightness, redness in or around nose, sore throat, symptoms of bladder, weakness","I have difficulty breathing, disturbance of smell or taste, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, skin irritation, weakness","I have difficulty breathing, hand or finger weakness, itching of scrotum, joint stiffness or tightness, redness in or around nose, skin irritation, sore throat, weakness","I have disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, redness in or around nose, skin irritation, sore throat, weakness","I have difficulty breathing, disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, joint stiffness or tightness, skin irritation, sore throat, symptoms of bladder, weakness","I have disturbance of smell or taste, fainting, hand or finger weakness, itching of scrotum, jaw swelling, joint stiffness or tightness, skin irritation, sore throat, symptoms of bladder, weakness"
Polymyalgia rheumatica,"I have abusing alcohol, difficulty eating, fainting, hip lump or mass, irregular belly button, leg lump or mass, leg swelling, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes","I have abusing alcohol, fainting, hip lump or mass, irregular belly button, leg lump or mass, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass","I have abusing alcohol, fainting, hip lump or mass, irregular belly button, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes","I have abusing alcohol, difficulty eating, fainting, hip lump or mass, irregular belly button, leg lump or mass, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy","I have abusing alcohol, difficulty eating, fainting, hip lump or mass, irregular belly button, leg lump or mass, leg swelling, symptoms of the scrotum and testes","I have difficulty eating, fainting, irregular belly button, leg lump or mass, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes","I have abusing alcohol, difficulty eating, hip lump or mass, leg lump or mass, leg swelling, muscle cramps, contractures, or spasms, sharp abdominal pain, shoulder lump or mass","I have difficulty eating, hip lump or mass, irregular belly button, leg lump or mass, leg swelling, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes","I have abusing alcohol, difficulty eating, fainting, leg lump or mass, leg swelling, sharp abdominal pain, shoulder lump or mass, spotting or bleeding during pregnancy","I have difficulty eating, fainting, hip lump or mass, irregular belly button, leg lump or mass, muscle cramps, contractures, or spasms, shoulder lump or mass, spotting or bleeding during pregnancy, symptoms of the scrotum and testes"
Post-traumatic stress disorder (PTSD),"I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, hoarse voice","I have absence of menstruation, antisocial behavior, decreased heart rate, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, drainage in throat, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, infrequent menstruation, low back weakness","I have absence of menstruation, antisocial behavior, decreased heart rate, depression, emotional symptoms, fatigue, hoarse voice, infrequent menstruation","I have absence of menstruation, antisocial behavior, delusions or hallucinations, emotional symptoms, fatigue, hoarse voice, infrequent menstruation, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, low back weakness","I have absence of menstruation, antisocial behavior, decreased heart rate, depression, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, low back weakness","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, hoarse voice, infrequent menstruation, low back weakness"
