prognosis,symptoms_description
Valley fever,"I have abusing alcohol, back mass or lump, feet turned in, hot flashes, jaw swelling, sharp chest pain, shoulder stiffness or tightness, vulvar irritation"
Valley fever,"I have abusing alcohol, back mass or lump, chest tightness, feet turned in, hand or finger lump or mass, hip pain, hot flashes, jaw swelling, vulvar irritation"
Valley fever,"I have abusing alcohol, back mass or lump, fainting, hand or finger lump or mass, hot flashes, jaw swelling, sharp chest pain, vulvar irritation"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, dry or flaky scalp, eye moves abnormally, feet turned in, irritable infant, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have constipation, dry or flaky scalp, feet turned in, irritable infant, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, eye moves abnormally, irritable infant, nailbiting, pain during pregnancy, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, dry or flaky scalp, irritable infant, nailbiting, pain during pregnancy, wheezing"
Conjunctivitis due to bacteria,"I have abdominal distention, coryza, eye moves abnormally, feet turned in, irritable infant, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, dry or flaky scalp, irritable infant, nailbiting, pain during pregnancy, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have constipation, coryza, dry or flaky scalp, eye moves abnormally, irritable infant, nailbiting, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, feet turned in, irritable infant, pain during pregnancy, symptoms of bladder, wheezing"
Conjunctivitis due to bacteria,"I have abdominal distention, constipation, coryza, dry or flaky scalp, eye moves abnormally, feet turned in, sore in nose, wheezing"
Conjunctivitis due to bacteria,"I have constipation, dry or flaky scalp, feet turned in, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder, wheezing"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, hoarse voice, long menstrual periods, palpitations, problems during pregnancy, recent weight loss, scanty menstrual flow, warts"
Lewy body dementia,"I have abnormal breathing sounds, depression, discharge in stools, disturbance of smell or taste, long menstrual periods, problems during pregnancy, recent weight loss, scanty menstrual flow, warts"
Lewy body dementia,"I have abnormal breathing sounds, depression, discharge in stools, disturbance of smell or taste, hoarse voice, palpitations, problems during pregnancy, warts"
Lewy body dementia,"I have abnormal breathing sounds, depression, discharge in stools, hoarse voice, long menstrual periods, problems during pregnancy, recent weight loss, warts"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, discharge in stools, long menstrual periods, palpitations, problems during pregnancy, recent weight loss, scanty menstrual flow, warts"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, long menstrual periods, palpitations, problems during pregnancy"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, palpitations, recent weight loss, scanty menstrual flow, warts"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, disturbance of smell or taste, hoarse voice, recent weight loss, scanty menstrual flow, warts"
Lewy body dementia,"I have depression, discharge in stools, disturbance of smell or taste, long menstrual periods, palpitations, problems during pregnancy, recent weight loss, warts"
Lewy body dementia,"I have abnormal breathing sounds, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, hoarse voice, palpitations, problems during pregnancy, scanty menstrual flow"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, incontinence of stool, itching of skin, shoulder lump or mass, skin rash, stiffness all over"
Marfan syndrome,"I have blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, itching of skin, shoulder lump or mass, skin rash, stiffness all over"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, incontinence of stool, skin rash, stiffness all over"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, elbow weakness, flushing, headache, incontinence of stool, itching of skin, stiffness all over"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, headache, shoulder lump or mass, skin rash, stiffness all over"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, delusions or hallucinations, flushing, headache, incontinence of stool, itching of skin, skin rash"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, incontinence of stool, shoulder lump or mass"
Marfan syndrome,"I have blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, incontinence of stool, itching of skin, shoulder lump or mass, skin rash"
Marfan syndrome,"I have antisocial behavior, delusions or hallucinations, elbow weakness, flushing, headache, itching of skin, shoulder lump or mass, stiffness all over"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, itching of skin, shoulder lump or mass, stiffness all over"
Multiple myeloma,"I have chest tightness, discharge in stools, fainting, hesitancy, hysterical behavior, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, spotting or bleeding during pregnancy, swelling of scrotum, symptoms of prostate, warts"
Multiple myeloma,"I have discharge in stools, fainting, hesitancy, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, spotting or bleeding during pregnancy, swelling of scrotum, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, fainting, hesitancy, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, spotting or bleeding during pregnancy, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, discharge in stools, hesitancy, hysterical behavior, lip sore, problems during pregnancy, spotting or bleeding during pregnancy, warts"
Multiple myeloma,"I have chest tightness, discharge in stools, fainting, hesitancy, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, discharge in stools, hesitancy, hysterical behavior, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, discharge in stools, hesitancy, hysterical behavior, problems during pregnancy, swelling of scrotum, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, hesitancy, hysterical behavior, lip sore, problems during pregnancy, spotting or bleeding during pregnancy, swelling of scrotum, symptoms of prostate, warts"
Multiple myeloma,"I have chest tightness, hesitancy, hysterical behavior, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, swelling of scrotum, symptoms of prostate"
Multiple myeloma,"I have chest tightness, discharge in stools, fainting, hesitancy, hysterical behavior, lip sore, muscle cramps, contractures, or spasms, problems during pregnancy, spotting or bleeding during pregnancy, swelling of scrotum, warts"
Stomach cancer,"I have bumps on penis, congestion in chest, diaper rash, difficulty eating, fainting, fluid in ear, headache, nasal congestion, penis redness, seizures, vaginal redness, warts"
Stomach cancer,"I have diaper rash, difficulty eating, fainting, fluid in ear, headache, seizures, vaginal redness, warts"
Stomach cancer,"I have congestion in chest, difficulty eating, fainting, fluid in ear, headache, nasal congestion, penis redness, seizures, vaginal redness"
Stomach cancer,"I have bumps on penis, congestion in chest, diaper rash, difficulty eating, fainting, fluid in ear, headache, nasal congestion, penis redness, seizures"
Stomach cancer,"I have bumps on penis, congestion in chest, fainting, headache, nasal congestion, penis redness, seizures, warts"
Stomach cancer,"I have bumps on penis, diaper rash, difficulty eating, fainting, nasal congestion, penis redness, vaginal redness, warts"
Stomach cancer,"I have bumps on penis, congestion in chest, difficulty eating, fainting, headache, nasal congestion, penis redness, warts"
Stomach cancer,"I have bumps on penis, congestion in chest, diaper rash, difficulty eating, headache, nasal congestion, penis redness, seizures, warts"
Stomach cancer,"I have bumps on penis, diaper rash, difficulty eating, fainting, fluid in ear, headache, nasal congestion, penis redness, seizures"
Stomach cancer,"I have difficulty eating, fainting, headache, nasal congestion, penis redness, seizures, vaginal redness, warts"
Developmental disability,"I have ankle weakness, decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, hoarse voice, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have depression, difficulty in swallowing, emotional symptoms, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have ankle weakness, decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have ankle weakness, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have ankle weakness, depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have ankle weakness, emotional symptoms, hoarse voice, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
Developmental disability,"I have ankle weakness, decreased heart rate, depression, emotional symptoms, hoarse voice, knee weakness, nosebleed, symptoms of the scrotum and testes"
Developmental disability,"I have decreased heart rate, depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, regurgitation, symptoms of the scrotum and testes"
Developmental disability,"I have decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, hoarse voice, knee weakness, regurgitation, symptoms of the scrotum and testes"
Acute stress reaction,"I have abnormal breathing sounds, antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, fainting, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, fainting, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have abnormal breathing sounds, antisocial behavior, bumps on penis, depression, disturbance of smell or taste, fainting, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have abnormal breathing sounds, bumps on penis, changes in stool appearance, depression, disturbance of smell or taste, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have antisocial behavior, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, fainting, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have abnormal breathing sounds, antisocial behavior, delusions or hallucinations, depression, disturbance of smell or taste, fainting, hand or finger weakness, sharp chest pain"
Acute stress reaction,"I have abnormal breathing sounds, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Acute stress reaction,"I have antisocial behavior, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, fainting, infrequent menstruation, sharp abdominal pain"
Acute stress reaction,"I have antisocial behavior, bumps on penis, changes in stool appearance, delusions or hallucinations, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain"
Acute stress reaction,"I have antisocial behavior, bumps on penis, delusions or hallucinations, depression, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, sharp abdominal pain, sharp chest pain"
Delirium,"I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, depression, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have decreased heart rate, depression, difficulty in swallowing, discharge in stools, flushing, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, difficulty in swallowing, discharge in stools, flushing, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have abnormal breathing sounds, delusions or hallucinations, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have decreased heart rate, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, problems during pregnancy, sleepwalking"
Delirium,"I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, difficulty in swallowing, disturbance of memory, flushing, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Delirium,"I have abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, hurts to breath, problems during pregnancy"
Delirium,"I have abnormal breathing sounds, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, disturbance of memory, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Callus,"I have abdominal distention, ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore"
Callus,"I have abdominal distention, ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
Callus,"I have ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain"
Callus,"I have abdominal distention, ache all over, foot or toe lump or mass, involuntary urination, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin pain, skin rash, vulvar sore"
Callus,"I have ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, itching of scrotum, sinus congestion, skin irritation, skin pain, skin rash, vulvar sore"
Callus,"I have abdominal distention, ache all over, foot or toe stiffness or tightness, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, vulvar sore"
Callus,"I have abdominal distention, ache all over, foot or toe lump or mass, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
Callus,"I have abdominal distention, ache all over, foot or toe lump or mass, involuntary urination, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin pain, skin rash"
Callus,"I have ache all over, foot or toe stiffness or tightness, involuntary urination, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash"
Callus,"I have ache all over, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash, vulvar sore"
Guillain Barre syndrome,"I have abusing alcohol, difficulty in swallowing, disturbance of smell or taste, eyelid swelling, feet turned in, hand or finger lump or mass, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, warts"
Guillain Barre syndrome,"I have abusing alcohol, difficulty in swallowing, eyelid swelling, feet turned in, hand or finger lump or mass, leg lump or mass, long menstrual periods, problems during pregnancy, warts"
Guillain Barre syndrome,"I have difficulty in swallowing, disturbance of smell or taste, eyelid swelling, hand or finger lump or mass, leg lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy"
Guillain Barre syndrome,"I have difficulty in swallowing, disturbance of smell or taste, feet turned in, hand or finger lump or mass, long menstrual periods, palpitations, problems during pregnancy, warts"
Guillain Barre syndrome,"I have abusing alcohol, difficulty in swallowing, disturbance of smell or taste, eyelid swelling, hand or finger lump or mass, long menstrual periods, palpitations, problems during pregnancy, warts"
Guillain Barre syndrome,"I have abusing alcohol, disturbance of smell or taste, eyelid swelling, hand or finger lump or mass, leg lump or mass, long menstrual periods, palpitations, warts"
Guillain Barre syndrome,"I have abusing alcohol, difficulty in swallowing, eyelid swelling, hand or finger lump or mass, leg lump or mass, long menstrual periods, palpitations, problems during pregnancy, warts"
Guillain Barre syndrome,"I have disturbance of smell or taste, eyelid swelling, feet turned in, hand or finger lump or mass, leg lump or mass, leg swelling, long menstrual periods, problems during pregnancy, warts"
Guillain Barre syndrome,"I have abusing alcohol, disturbance of smell or taste, eyelid swelling, feet turned in, hand or finger lump or mass, leg swelling, palpitations, problems during pregnancy, warts"
Guillain Barre syndrome,"I have abusing alcohol, eyelid swelling, feet turned in, hand or finger lump or mass, leg swelling, long menstrual periods, palpitations, problems during pregnancy, warts"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, painful menstruation"
Deviated nasal septum,"I have abnormal appearing tongue, anxiety and nervousness, eyelid swelling, hand or finger weakness, nailbiting, nose deformity, painful menstruation, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, eyelid swelling, frequent urination, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, eyelid swelling, frequent urination, nailbiting, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, diarrhea, frequent urination, hand or finger weakness, nailbiting, nose deformity, peripheral edema, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, anxiety and nervousness, eyelid swelling, hand or finger weakness, nailbiting, nose deformity, painful menstruation, sore in nose"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, diarrhea, frequent urination, hand or finger weakness, nailbiting, painful menstruation, peripheral edema, sore in nose"
Hemangioma,"I have abdominal distention, involuntary urination, irregular appearing nails, lip sore, lump over jaw, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore"
Hemangioma,"I have abdominal distention, involuntary urination, irregular appearing nails, lip sore, lump over jaw, sinus congestion, skin growth, skin rash, vulvar sore"
Hemangioma,"I have irregular appearing nails, lip sore, lump over jaw, sinus congestion, skin growth, skin lesion, skin rash, vulvar sore"
Hemangioma,"I have abdominal distention, involuntary urination, irregular appearing nails, lump over jaw, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin rash"
Hemangioma,"I have involuntary urination, irregular appearing nails, lump over jaw, sinus congestion, skin irritation, skin lesion, skin rash, vulvar sore"
Hemangioma,"I have abdominal distention, lip sore, lump over jaw, sinus congestion, skin growth, skin irritation, skin lesion, vulvar sore"
Hemangioma,"I have involuntary urination, irregular appearing nails, lip sore, lump over jaw, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash"
Hemangioma,"I have involuntary urination, irregular appearing nails, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash"
Hemangioma,"I have irregular appearing nails, lip sore, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore"
Hemangioma,"I have abdominal distention, involuntary urination, lip sore, lump over jaw, sinus congestion, skin lesion, skin rash, vulvar sore"
Patau syndrome,"I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, muscle weakness, nausea, pelvic pain, shortness of breath, shoulder stiffness or tightness, vulvar irritation"
Patau syndrome,"I have excessive appetite, eye redness, joint pain, loss of sensation, nausea, pelvic pain, shortness of breath, shoulder stiffness or tightness"
Patau syndrome,"I have excessive appetite, eye redness, joint pain, knee cramps or spasms, muscle weakness, nausea, pelvic pain, shortness of breath, vulvar irritation"
Patau syndrome,"I have back weakness, eye redness, joint pain, knee cramps or spasms, loss of sensation, muscle weakness, nausea, pelvic pain, shoulder stiffness or tightness"
Patau syndrome,"I have back weakness, excessive appetite, eye redness, knee cramps or spasms, loss of sensation, nausea, pelvic pain, shortness of breath, vulvar irritation"
Patau syndrome,"I have excessive appetite, eye redness, joint pain, knee cramps or spasms, muscle weakness, nausea, pelvic pain, shortness of breath"
Patau syndrome,"I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, muscle weakness, shoulder stiffness or tightness, vulvar irritation"
Patau syndrome,"I have back weakness, excessive appetite, eye redness, knee cramps or spasms, loss of sensation, muscle weakness, shortness of breath, vulvar irritation"
Patau syndrome,"I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, shoulder stiffness or tightness, vulvar irritation"
Patau syndrome,"I have eye redness, joint pain, knee cramps or spasms, loss of sensation, muscle weakness, shortness of breath, shoulder stiffness or tightness, vulvar irritation"
Chronic back pain,"I have arm weakness, back mass or lump, back pain, groin mass, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder weakness"
Chronic back pain,"I have arm weakness, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, shoulder weakness"
Chronic back pain,"I have arm weakness, back mass or lump, back pain, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, shoulder weakness"
Chronic back pain,"I have arm weakness, back mass or lump, back pain, groin mass, hip lump or mass, leg lump or mass, lower abdominal pain, neck mass, shoulder weakness"
Chronic back pain,"I have arm weakness, back pain, groin mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, shoulder weakness"
Chronic back pain,"I have arm weakness, back mass or lump, groin mass, hip lump or mass, leg lump or mass, long menstrual periods, neck mass, shoulder weakness"
Chronic back pain,"I have arm weakness, back mass or lump, back pain, groin mass, hip lump or mass, leg lump or mass, leg swelling, low back cramps or spasms, lower abdominal pain"
Chronic back pain,"I have arm weakness, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, neck mass, shoulder weakness"
Chronic back pain,"I have arm weakness, back pain, groin mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder weakness"
Chronic back pain,"I have back mass or lump, groin mass, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass"
Heart failure,"I have changes in stool appearance, coryza, diarrhea, fluid in ear, hot flashes, leg stiffness or tightness, pallor, penis redness, sharp abdominal pain, sharp chest pain, warts, weakness"
Heart failure,"I have changes in stool appearance, coryza, diarrhea, fluid in ear, hot flashes, leg stiffness or tightness, pallor, sharp abdominal pain, sharp chest pain, warts"
Heart failure,"I have changes in stool appearance, coryza, diarrhea, hot flashes, leg stiffness or tightness, pallor, penis redness, sharp abdominal pain, weakness"
Heart failure,"I have changes in stool appearance, diarrhea, fluid in ear, hot flashes, pallor, penis redness, sharp abdominal pain, sharp chest pain"
Heart failure,"I have changes in stool appearance, coryza, fluid in ear, hot flashes, pallor, penis redness, sharp chest pain, weakness"
Heart failure,"I have changes in stool appearance, coryza, diarrhea, pallor, penis redness, sharp abdominal pain, sharp chest pain, weakness"
Heart failure,"I have changes in stool appearance, coryza, hot flashes, pallor, penis redness, sharp chest pain, warts, weakness"
Heart failure,"I have changes in stool appearance, diarrhea, fluid in ear, leg stiffness or tightness, pallor, sharp chest pain, warts, weakness"
Heart failure,"I have coryza, fluid in ear, leg stiffness or tightness, pallor, penis redness, sharp chest pain, warts, weakness"
Heart failure,"I have diarrhea, hot flashes, leg stiffness or tightness, pallor, penis redness, sharp abdominal pain, sharp chest pain, warts"
Conjunctivitis,"I have constipation, coryza, eye moves abnormally, feet turned in, irritable infant, lack of growth, nailbiting, pain during pregnancy, sore in nose, swollen abdomen, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, coryza, feet turned in, irritable infant, lack of growth, nailbiting, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, irritable infant, lack of growth, pain during pregnancy, sore in nose, swollen abdomen, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, coryza, feet turned in, irritable infant, lack of growth, nailbiting, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis,"I have coryza, eye moves abnormally, feet turned in, lack of growth, nailbiting, pain during pregnancy, swollen abdomen, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, coryza, eye moves abnormally, irritable infant, lack of growth, nailbiting, pain during pregnancy, sore in nose, wheezing"
Conjunctivitis,"I have constipation, coryza, eye moves abnormally, irritable infant, lack of growth, pain during pregnancy, swollen abdomen, wheezing"
Conjunctivitis,"I have coryza, eye moves abnormally, feet turned in, lack of growth, nailbiting, pain during pregnancy, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, coryza, eye moves abnormally, feet turned in, nailbiting, sore in nose, symptoms of bladder, wheezing"
Conjunctivitis,"I have constipation, eye moves abnormally, feet turned in, irritable infant, lack of growth, pain during pregnancy, swollen abdomen, wheezing"
Herniated disk,"I have arm lump or mass, arm swelling, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, palpitations, shoulder lump or mass"
Herniated disk,"I have arm swelling, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, low back cramps or spasms, lower abdominal pain, neck mass"
Herniated disk,"I have arm lump or mass, back mass or lump, hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, palpitations"
Herniated disk,"I have hip lump or mass, leg lump or mass, leg swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, hip lump or mass, leg lump or mass, long menstrual periods, lower abdominal pain, neck mass, palpitations, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, arm swelling, back mass or lump, leg swelling, long menstrual periods, low back cramps or spasms, palpitations, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, arm swelling, back mass or lump, hip lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, arm swelling, back mass or lump, hip lump or mass, leg swelling, low back cramps or spasms, neck mass, palpitations, shoulder lump or mass"
Herniated disk,"I have arm lump or mass, arm swelling, back mass or lump, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, neck mass, palpitations"
Rhabdomyolysis,"I have abusing alcohol, arm lump or mass, depression, fainting, hand or finger weakness, hip weakness, leg lump or mass, long menstrual periods, penis redness, sharp abdominal pain, vaginal redness, warts"
Rhabdomyolysis,"I have abusing alcohol, arm lump or mass, depression, hip weakness, leg lump or mass, penis redness, vaginal redness, warts"
Rhabdomyolysis,"I have abusing alcohol, depression, fainting, hand or finger weakness, hip weakness, long menstrual periods, penis redness, sharp abdominal pain, warts"
Rhabdomyolysis,"I have abusing alcohol, arm lump or mass, depression, fainting, hand or finger weakness, long menstrual periods, penis redness, vaginal redness"
Rhabdomyolysis,"I have abusing alcohol, depression, fainting, hip weakness, leg lump or mass, long menstrual periods, penis redness, sharp abdominal pain"
Rhabdomyolysis,"I have abusing alcohol, arm lump or mass, depression, fainting, hand or finger weakness, hip weakness, long menstrual periods, penis redness, sharp abdominal pain, vaginal redness"
Rhabdomyolysis,"I have abusing alcohol, arm lump or mass, depression, fainting, hip weakness, long menstrual periods, penis redness, vaginal redness, warts"
Rhabdomyolysis,"I have abusing alcohol, depression, fainting, hand or finger weakness, leg lump or mass, long menstrual periods, penis redness, sharp abdominal pain, vaginal redness"
